Row_Number,Artist_01,Artist_01_Tags,Artist_02,Artist_02_Tags,Song_Title,Collaboration_Status,Release_Year,Region,MB_Rating_Value,MB_Rating_Votes,Peak_Chart_Position,embedding,
26,Ariana Grande,"contemporary r&b, dance-pop, pop, r&b, trap soul",Rihanna,"contemporary r&b, dance, dance-pop, dancehall, electro house, electropop",Pop Princesses: Wings (The Alias extended mix) / This Is What You Came For / Outside / Bang Bang (Kat Krazy extended mix) / Cool for the Summer (Dave Aude remix) / Focus (Max Sanna & Steve Pitron clean club mix) / I Will Never Let You Down (Steve Smart & WestFunk club mix) / Sax,Failure,2016.0,US,,,,
27,Ariana Grande,"contemporary r&b, dance-pop, pop, r&b, trap soul",Calvin Harris,"club, dance, dance-pop, edm, electro house, electronic",Heatstroke,Success,2017.0,US,,,,
28,Ariana Grande,"contemporary r&b, dance-pop, pop, r&b, trap soul",Calvin Harris,"club, dance, dance-pop, edm, electro house, electronic",Pop Princesses: Wings (The Alias extended mix) / This Is What You Came For / Outside / Bang Bang (Kat Krazy extended mix) / Cool for the Summer (Dave Aude remix) / Focus (Max Sanna & Steve Pitron clean club mix) / I Will Never Let You Down (Steve Smart & WestFunk club mix) / Sax,Failure,2016.0,US,,,,
29,Ariana Grande,"contemporary r&b, dance-pop, pop, r&b, trap soul",Zedd,"bass house, club, complextro, dance, dance-pop, deep house",Break Free,Success,2014.0,US,,,,
30,Ariana Grande,"contemporary r&b, dance-pop, pop, r&b, trap soul",J Balvin,"hip hop, latin, latin pop, pop, reggaeton",The Way (Spanglish version),Success,2013.0,US,,,,
31,Ariana Grande,"contemporary r&b, dance-pop, pop, r&b, trap soul",J Balvin,"hip hop, latin, latin pop, pop, reggaeton",Problem,Failure,2014.0,US,,,,
32,Ariana Grande,"contemporary r&b, dance-pop, pop, r&b, trap soul",Ellie Goulding,"club, contemporary r&b, dance, dance-pop, dream pop, edm",Pop Princesses: Wings (The Alias extended mix) / This Is What You Came For / Outside / Bang Bang (Kat Krazy extended mix) / Cool for the Summer (Dave Aude remix) / Focus (Max Sanna & Steve Pitron clean club mix) / I Will Never Let You Down (Steve Smart & WestFunk club mix) / Sax,Failure,2016.0,US,,,,
33,Ariana Grande,"contemporary r&b, dance-pop, pop, r&b, trap soul",Rita Ora,"contemporary r&b, dance-pop, electropop, pop, pop rock",Pop Princesses: Wings (The Alias extended mix) / This Is What You Came For / Outside / Bang Bang (Kat Krazy extended mix) / Cool for the Summer (Dave Aude remix) / Focus (Max Sanna & Steve Pitron clean club mix) / I Will Never Let You Down (Steve Smart & WestFunk club mix) / Sax,Failure,2016.0,US,,,,
34,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Everything Has Changed,Success,2012.0,UK,,,,
35,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Run (Taylor’s version) (from The Vault),Success,2021.0,UK,,,,
36,Shawn Mendes,"folk pop, pop, pop rock, pop soul, teen pop",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Lover (remix),Success,2019.0,US,,,,
37,Camila Cabello,"dance-pop, electropop, hyperpop, latin pop, pop, r&b",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Shake It Off,Failure,2019.0,US,,,,
38,Katy Perry,"bubblegum pop, dance-pop, disco, electropop, pop, pop rock",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Hot & Cold,Failure,,US,,,,
39,Demi Lovato,"dance-pop, electropop, pop, pop rock, teen pop",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Heart Attack vs. I Knew You Were Trouble (Mashup),Failure,2013.0,US,,,,
40,Kendrick Lamar,"alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Bad Blood,Success,2015.0,US,,,,
41,Kendrick Lamar,"alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Backseat Shake Off,Failure,2015.0,US,,,,
42,Kendrick Lamar,"alternative hip hop, conscious hip hop, hardcore hip hop, hip hop, jazz rap, pop",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Bitch I'm Madonna and Bad Blood (mashup),Success,2016.0,US,,,,
43,Post Malone,"alternative r&b, cloud rap, contemporary r&b, country, hip hop, pop rap",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Fortnight,Success,2024.0,US,,,,
44,Future,"hip hop, southern hip hop, trap",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",End Game,Success,2017.0,US,,,,
45,Beyoncé,"alternative r&b, americana, contemporary r&b, country, dance, dance-pop",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Bad Blood / Royals / Hold Up,Failure,2024.0,US,,,,
46,Fall Out Boy,"alternative rock, electropop, emo, emo pop, indie rock, pop",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",Electric Touch (Taylor’s version) (from The Vault),Success,2023.0,US,,,,
47,Calvin Harris,"club, dance, dance-pop, edm, electro house, electronic",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",How Deep Is Your Wildest Dream (3LAU mashup),Failure,2016.0,US,,,,
48,Maren Morris,"contemporary country, country, country pop, folk rock",Taylor Swift,"alternative pop, contemporary country, country, country pop, electropop, indie folk",You All Over Me (from The Vault),Success,2021.0,US,,,,
49,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Justin Bieber,"dance-pop, pop, pop rap, r&b, teen pop",I Don’t Care,Success,2019.0,UK,,,,
50,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",The Weeknd,"alternative r&b, contemporary r&b, dance-pop, hypnagogic pop, pop, r&b",Dark Times,Success,2015.0,UK,,,,
51,Camila Cabello,"dance-pop, electropop, hyperpop, latin pop, pop, r&b",Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",South of the Border,Success,2019.0,US,,,,
52,Camila Cabello,"dance-pop, electropop, hyperpop, latin pop, pop, r&b",Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Bam Bam,Success,2022.0,US,,,,
53,Camila Cabello,"dance-pop, electropop, hyperpop, latin pop, pop, r&b",Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Chart Hits: Remixed: Wish You Well (Benny Benassi extended remix) / One Touch (Todd Edwards remix) / Find U Again (MK remix – radio edit) / Beautiful People (Jack Wins remix) / Harder (KC Lights remix),Failure,,US,,,,
54,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Travis Scott,"experimental hip hop, hip hop, pop rap, southern hip hop, trap",Antisocial,Success,2019.0,UK,,,,
55,Cardi B,"alternative pop, east coast hip hop, hardcore hip hop, hip hop, pop, pop rap",Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",South of the Border,Success,2019.0,US,,,,
56,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Future,"hip hop, southern hip hop, trap",End Game,Success,2017.0,UK,,,,
57,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Eminem,"boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap",River,Success,2017.0,UK,,,,
58,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Eminem,"boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap",Those Kinda Nights,Success,2020.0,UK,,,,
59,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Eminem,"boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap",Remember the Name,Success,2019.0,UK,,,,
60,Beyoncé,"alternative r&b, americana, contemporary r&b, country, dance, dance-pop",Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Perfect Duet,Failure,2017.0,US,,,,
61,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",H.E.R.,"alternative r&b, r&b, trap",I Don’t Want Your Money,Success,2019.0,UK,,,,
62,Calvin Harris,"club, dance, dance-pop, edm, electro house, electronic",Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Get Up,Failure,,UK,,,,
63,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Skrillex,"brostep, complextro, drumstep, dubstep, edm, electro house",Way to Break My Heart,Success,2019.0,UK,,,,
64,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",J Balvin,"hip hop, latin, latin pop, pop, reggaeton",Forever My Love,Failure,2022.0,UK,,,,
65,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",J Balvin,"hip hop, latin, latin pop, pop, reggaeton",Sigue,Success,2022.0,UK,,,,
66,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",J Balvin,"hip hop, latin, latin pop, pop, reggaeton",Sigue / Forever My Love,Failure,2022.0,UK,,,,
67,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Shakira,"latin, latin pop, pop, pop rock",Hips Don’t Lie (Spotify Anniversary version),Failure,2025.0,UK,,,,
68,Ed Sheeran,"dance-pop, folk, folk pop, persian pop, pop, singer-songwriter",Sam Smith,"acoustic rock, folk rock, indie folk, indie pop, indie rock, singer-songwriter",Who We Love,Success,2023.0,UK,,,,
69,Billie Eilish,"alternative pop, alternative r&b, art pop, bedroom pop, contemporary r&b, electronic",Justin Bieber,"dance-pop, pop, pop rap, r&b, teen pop",bad guy,Success,2019.0,US,,,,
70,Justin Bieber,"dance-pop, pop, pop rap, r&b, teen pop",Shawn Mendes,"folk pop, pop, pop rock, pop soul, teen pop",Monster,Success,2020.0,US,,,,
