Artist_01,Artist_02
Selena Gomez,Billie Eilish
Selena Gomez,Shawn Mendes
Selena Gomez,Camila Cabello
Selena Gomez,Lady Gaga
Selena Gomez,Katy Perry
Selena Gomez,Miley Cyrus
Selena Gomez,Drake
Selena Gomez,Kanye West
Selena Gomez,Jay-Z
Selena Gomez,Kendrick Lamar
Selena Gomez,J. Cole
Selena Gomez,Travis Scott
Selena Gomez,Post Malone
Selena Gomez,Megan Thee Stallion
Selena Gomez,Nicki Minaj
Selena Gomez,Lil Wayne
Selena Gomez,Future
Selena Gomez,21 Savage
Selena Gomez,Metro Boomin
Selena Gomez,Snoop Dogg
Selena Gomez,Eminem
Selena Gomez,Rihanna
Selena Gomez,Beyoncé
Selena Gomez,SZA
Selena Gomez,H.E.R.
Selena Gomez,Frank Ocean
Selena Gomez,Twenty One Pilots
Selena Gomez,Fall Out Boy
Selena Gomez,Panic! at the Disco
Selena Gomez,Linkin Park
Selena Gomez,Foo Fighters
Selena Gomez,Calvin Harris
Selena Gomez,David Guetta
Selena Gomez,The Chainsmokers
Selena Gomez,Avicii
Selena Gomez,Diplo
Selena Gomez,Skrillex
Selena Gomez,Martin Garrix
Selena Gomez,Bad Bunny
Selena Gomez,Shakira
Selena Gomez,Daddy Yankee
Selena Gomez,Maluma
Selena Gomez,Karol G
Selena Gomez,Luis Fonsi
Selena Gomez,Nicky Jam
Selena Gomez,BTS
Selena Gomez,Stray Kids
Selena Gomez,Maren Morris
Selena Gomez,Sam Smith
Selena Gomez,Ellie Goulding
Selena Gomez,Rita Ora
Dua Lipa,Billie Eilish
Dua Lipa,Shawn Mendes
Dua Lipa,Camila Cabello
Dua Lipa,Lady Gaga
Dua Lipa,Katy Perry
Dua Lipa,Demi Lovato
Dua Lipa,Halsey
Dua Lipa,Drake
Dua Lipa,Jay-Z
Dua Lipa,J. Cole
Dua Lipa,Travis Scott
Dua Lipa,Post Malone
Dua Lipa,Cardi B
Dua Lipa,Lil Wayne
Dua Lipa,Future
Dua Lipa,21 Savage
Dua Lipa,Metro Boomin
Dua Lipa,Snoop Dogg
Dua Lipa,Eminem
Dua Lipa,Rihanna
Dua Lipa,Beyoncé
Dua Lipa,SZA
Dua Lipa,H.E.R.
Dua Lipa,Frank Ocean
Dua Lipa,Coldplay
Dua Lipa,Imagine Dragons
Dua Lipa,Twenty One Pilots
Dua Lipa,Fall Out Boy
Dua Lipa,Panic! at the Disco
Dua Lipa,Linkin Park
Dua Lipa,Foo Fighters
Dua Lipa,Marshmello
Dua Lipa,Zedd
Dua Lipa,Avicii
Dua Lipa,Skrillex
Dua Lipa,Shakira
Dua Lipa,Daddy Yankee
Dua Lipa,Ozuna
Dua Lipa,Maluma
Dua Lipa,Karol G
Dua Lipa,Luis Fonsi
Dua Lipa,Nicky Jam
Dua Lipa,BTS
Dua Lipa,Stray Kids
Dua Lipa,Kacey Musgraves
Dua Lipa,Maren Morris
Dua Lipa,Sam Smith
Dua Lipa,Ellie Goulding
Dua Lipa,Rita Ora
The Weeknd,Billie Eilish
The Weeknd,Shawn Mendes
The Weeknd,Camila Cabello
The Weeknd,Katy Perry
The Weeknd,Miley Cyrus
The Weeknd,Demi Lovato
The Weeknd,Halsey
The Weeknd,Jay-Z
The Weeknd,J. Cole
The Weeknd,Megan Thee Stallion
The Weeknd,Cardi B
The Weeknd,Snoop Dogg
The Weeknd,Rihanna
The Weeknd,H.E.R.
The Weeknd,Coldplay
The Weeknd,Imagine Dragons
The Weeknd,Twenty One Pilots
The Weeknd,Fall Out Boy
The Weeknd,Panic! at the Disco
The Weeknd,Linkin Park
The Weeknd,Foo Fighters
The Weeknd,David Guetta
The Weeknd,Marshmello
The Weeknd,Zedd
The Weeknd,Kygo
The Weeknd,Avicii
The Weeknd,Skrillex
The Weeknd,Martin Garrix
The Weeknd,J Balvin
The Weeknd,Shakira
The Weeknd,Daddy Yankee
The Weeknd,Ozuna
The Weeknd,Karol G
The Weeknd,Luis Fonsi
The Weeknd,Nicky Jam
The Weeknd,BTS
The Weeknd,BLACKPINK
The Weeknd,Stray Kids
The Weeknd,Kacey Musgraves
The Weeknd,Maren Morris
The Weeknd,Sam Smith
The Weeknd,Ellie Goulding
The Weeknd,Rita Ora
Billie Eilish,Shawn Mendes
Billie Eilish,Camila Cabello
Billie Eilish,Lady Gaga
Billie Eilish,Katy Perry
Billie Eilish,Miley Cyrus
Billie Eilish,Demi Lovato
Billie Eilish,Halsey
Billie Eilish,Drake
Billie Eilish,Kanye West
Billie Eilish,Jay-Z
Billie Eilish,Kendrick Lamar
Billie Eilish,J. Cole
Billie Eilish,Travis Scott
Billie Eilish,Post Malone
Billie Eilish,Megan Thee Stallion
Billie Eilish,Cardi B
Billie Eilish,Nicki Minaj
Billie Eilish,Lil Wayne
Billie Eilish,Future
Billie Eilish,21 Savage
Billie Eilish,Metro Boomin
Billie Eilish,Snoop Dogg
Billie Eilish,Eminem
Billie Eilish,Rihanna
Billie Eilish,Beyoncé
Billie Eilish,SZA
Billie Eilish,H.E.R.
Billie Eilish,Frank Ocean
Billie Eilish,Coldplay
Billie Eilish,Imagine Dragons
Billie Eilish,Twenty One Pilots
Billie Eilish,Fall Out Boy
Billie Eilish,Panic! at the Disco
Billie Eilish,Linkin Park
Billie Eilish,Foo Fighters
Billie Eilish,Calvin Harris
Billie Eilish,David Guetta
Billie Eilish,The Chainsmokers
Billie Eilish,Marshmello
Billie Eilish,Zedd
Billie Eilish,Kygo
Billie Eilish,Avicii
Billie Eilish,Diplo
Billie Eilish,Skrillex
Billie Eilish,Martin Garrix
Billie Eilish,Bad Bunny
Billie Eilish,J Balvin
Billie Eilish,Shakira
Billie Eilish,Daddy Yankee
Billie Eilish,Ozuna
Billie Eilish,Maluma
Billie Eilish,Karol G
Billie Eilish,Luis Fonsi
Billie Eilish,Nicky Jam
Billie Eilish,BTS
Billie Eilish,BLACKPINK
Billie Eilish,Stray Kids
Billie Eilish,Kacey Musgraves
Billie Eilish,Maren Morris
Billie Eilish,Sam Smith
Billie Eilish,Ellie Goulding
Billie Eilish,Rita Ora
Shawn Mendes,Lady Gaga
Shawn Mendes,Katy Perry
Shawn Mendes,Miley Cyrus
Shawn Mendes,Demi Lovato
Shawn Mendes,Halsey
Shawn Mendes,Drake
Shawn Mendes,Kanye West
Shawn Mendes,Jay-Z
Shawn Mendes,Kendrick Lamar
Shawn Mendes,J. Cole
Shawn Mendes,Travis Scott
Shawn Mendes,Megan Thee Stallion
Shawn Mendes,Cardi B
Shawn Mendes,Nicki Minaj
Shawn Mendes,Lil Wayne
Shawn Mendes,Future
Shawn Mendes,21 Savage
Shawn Mendes,Metro Boomin
Shawn Mendes,Snoop Dogg
Shawn Mendes,Eminem
Shawn Mendes,Rihanna
Shawn Mendes,Beyoncé
Shawn Mendes,SZA
Shawn Mendes,H.E.R.
Shawn Mendes,Frank Ocean
Shawn Mendes,Coldplay
Shawn Mendes,Imagine Dragons
Shawn Mendes,Twenty One Pilots
Shawn Mendes,Fall Out Boy
Shawn Mendes,Panic! at the Disco
Shawn Mendes,Linkin Park
Shawn Mendes,Foo Fighters
Shawn Mendes,Calvin Harris
Shawn Mendes,David Guetta
Shawn Mendes,Marshmello
Shawn Mendes,Avicii
Shawn Mendes,Diplo
Shawn Mendes,Skrillex
Shawn Mendes,Martin Garrix
Shawn Mendes,Bad Bunny
Shawn Mendes,J Balvin
Shawn Mendes,Shakira
Shawn Mendes,Daddy Yankee
Shawn Mendes,Ozuna
Shawn Mendes,Maluma
Shawn Mendes,Karol G
Shawn Mendes,Luis Fonsi
Shawn Mendes,Nicky Jam
Shawn Mendes,BTS
Shawn Mendes,BLACKPINK
Shawn Mendes,Stray Kids
Shawn Mendes,Kacey Musgraves
Shawn Mendes,Maren Morris
Shawn Mendes,Sam Smith
Shawn Mendes,Ellie Goulding
Camila Cabello,Lady Gaga
Camila Cabello,Katy Perry
Camila Cabello,Miley Cyrus
Camila Cabello,Demi Lovato
Camila Cabello,Halsey
Camila Cabello,Kanye West
Camila Cabello,Jay-Z
