"Artist_01","Artist_01_Tags","Artist_02","Artist_02_Tags","Song_Title","Collaboration_Status","Release_Year","Region","Peak_Chart_Position"
"Alicia Keys","contemporary r&b, jazz, jazz pop, neo soul, pop soul, r&b","Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Cocaine","Failure","","US",""
"Alicia Keys","contemporary r&b, jazz, jazz pop, neo soul, pop soul, r&b","Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Cocaine","Failure","2011","US",""
"Alicia Keys","contemporary r&b, jazz, jazz pop, neo soul, pop soul, r&b","Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Like Home","Failure","2017","US",""
